Player,Position,Minutes,Impact,Fatigue_Score,Predicted Impact,Sub_Recommendation
Max Aarons,DF,1233.0,0.006488240064882401,0.656934306569343,0.012116992225097113,Sub Early
Brenden Aaronson,"MF,FW",1269.0,0.02048857368006304,1.5319148936170213,0.012104934508289068,Sub Early
Paxten Aaronson,MF,99.00000000000001,0.0202020202020202,3.454545454545454,0.012496810304550502,Monitor
Yunis Abdelhamid,DF,2781.0,0.004314994606256742,0.5825242718446602,0.011598510402351216,Monitor
Salis Abdul Samed,MF,1520.9999999999998,0.0039447731755424065,1.1715976331360947,0.01202053049063276,Sub Early
Nabil Aberdin,DF,180.0,0.0,0.35,0.012469680441732403,Monitor
Laurent Abergel,MF,2862.0,0.011530398322851153,0.7672955974842768,0.011571380539533115,Sub Early
Matthis Abline,FW,1044.0,0.0210727969348659,2.0000000000000004,0.012180295238339344,Sub Early
Abner,DF,1404.0,0.00641025641025641,0.8076923076923076,0.012059718070258903,Sub Early
Zakaria Aboukhlal,"MF,FW",756.0,0.010582010582010581,1.7023809523809523,0.012276756972803697,Sub Early
Abdel Abqar,DF,2313.0,0.0012970168612191958,0.6964980544747081,0.011755260720855788,Sub Early
Tammy Abraham,FW,243.00000000000003,0.016460905349794237,2.074074074074074,0.012448579437318325,Monitor
Francesco Acerbi,DF,2385.0,0.004612159329140462,0.2830188679245283,0.011731145287239701,Monitor
Joshua Acheampong,DF,9.0,0.0,0.0,0.012526954596570612,Monitor
Marcos Acuña,DF,1296.0,0.020061728395061727,1.027777777777778,0.012095891220683035,Sub Early
Akor Adams,FW,2250.0,0.011555555555555555,1.572,0.011776361725269866,Sub Early
Tyler Adams,MF,117.0,0.008547008547008548,0.923076923076923,0.01249078144614648,Monitor
Junior Adamu,"FW,MF",108.0,0.009259259259259259,3.416666666666666,0.012493795875348492,Monitor
Sargis Adamyan,"FW,MF",801.0,0.018726591760299626,1.8651685393258428,0.012261684826793642,Sub Early
Tosin Adarabioyo,DF,1620.0,0.0024691358024691358,0.27777777777777773,0.011987371769410638,Monitor
Elijah Adebayo,FW,1422.0,0.016877637130801686,2.0949367088607596,0.01205368921185488,Sub Early
Karim Adeyemi,"FW,MF",909.0,0.014301430143014302,1.8712871287128712,0.01222551167636951,Sub Early
Simon Adingra,FW,2223.0,0.01799370220422852,1.1538461538461537,0.011785405012875899,Sub Early
Nathaniel Adjei,DF,1242.0,0.0024154589371980675,0.5942028985507246,0.012113977795895101,Monitor
Amine Adli,"MF,FW",900.0,0.034444444444444444,1.2000000000000002,0.01222852610557152,Sub Early
Yacine Adli,MF,1404.0,0.017806267806267807,0.9999999999999999,0.012059718070258903,Sub Early
Adryelson,"DF,FW",9.0,0.0,0.0,0.012526954596570612,Monitor
Adson,"MF,FW",234.0,0.01282051282051282,1.076923076923077,0.012451593866520337,Monitor
Michel Aebischer,MF,2232.0,0.008064516129032258,0.9475806451612903,0.011782390583673887,Sub Early
Emmanuel Agbadou,DF,2592.0,0.005401234567901234,0.6631944444444444,0.011661813415593447,Sub Early
Julen Agirrezabala,GK,234.0,0.0,0.0,0.012451593866520337,Monitor
Lucien Agoume,MF,9.0,0.0,0.0,0.012526954596570612,Monitor
Lucien Agoume,MF,774.0,0.011627906976744186,0.9186046511627907,0.012270728114399675,Sub Early
Felix Agu,"DF,MF",1610.9999999999998,0.004345127250155184,0.9888268156424582,0.01199038619861265,Sub Early
Nayef Aguerd,DF,1854.0000000000002,0.0026968716289104636,0.37378640776699024,0.01190899661015835,Monitor
Ruben Aguilar,DF,1925.9999999999998,0.015576323987538943,0.8878504672897197,0.011884881176542263,Sub Early
Brandon Aguilera,FW,9.0,0.0,9.0,0.012526954596570612,Monitor
Naouirou Ahamada,"MF,FW",351.0,0.002849002849002849,1.7435897435897436,0.012412406286894193,Monitor
Anel Ahmedhodžić,DF,2646.0,0.003401360544217687,0.6156462585034014,0.011643726840381381,Sub Early
Joseph Aidoo,DF,405.0,0.0024691358024691358,0.35555555555555557,0.012394319711682127,Monitor
Ola Aina,DF,1692.0,0.0076832151300236405,0.8297872340425532,0.01196325633579455,Sub Early
Rayan Aït-Nouri,"DF,MF",2331.0,0.012012012012012012,1.1312741312741315,0.011749231862451767,Sub Early
Tosin Aiyegun,"MF,FW",900.0,0.01,1.12,0.01222852610557152,Sub Early
Kristoffer Ajer,DF,1835.9999999999998,0.008169934640522876,0.7303921568627453,0.011915025468562374,Sub Early
Ludovic Ajorque,FW,1359.0,0.013245033112582781,1.7218543046357617,0.012074790216268958,Sub Early
Manuel Akanji,"DF,MF",2511.0,0.005973715651135006,0.41577060931899645,0.011688943278411546,Monitor
Marley Aké,FW,9.0,0.0,4.0,0.012526954596570612,Monitor
Nathan Aké,DF,2043.0,0.006852667645619187,0.27312775330396477,0.01184569359691612,Monitor
Ilias Akhomach,"MF,FW",1512.0,0.016534391534391533,1.9464285714285714,0.012023544919834771,Sub Early
Sergio Akieme,DF,1674.0000000000002,0.01135005973715651,0.6344086021505375,0.011969285194198572,Sub Early
Sergio Akieme,DF,819.0,0.009768009768009768,1.131868131868132,0.01225565596838962,Sub Early
Ebenezer Akinsanmiro,MF,18.0,0.05555555555555555,2.0,0.012523940167368602,Monitor
Maghnes Akliouche,"MF,FW",1610.9999999999998,0.030415890751086284,1.5251396648044695,0.01199038619861265,Sub Early
Paul Akouokou,MF,27.0,0.0,0.9999999999999999,0.01252092573816659,Monitor
Paul Akouokou,MF,306.0,0.0,1.3235294117647058,0.01242747843290425,Monitor
